"user_primary_key","video_min_date","video_max_date","video_days","video_use_time","video_n_life","video_kind_life","vido_n_finish","video_n_school","video_repeat_rate","video_finish_rate","video_school_rate","video_finish_time","video_kind_finish","video_finish_school","video_f_time_mean","video_f_repeat_rate","video_f_school_rate","video_use_time_s1","video_n_s1","video_kind_s1","video_finish_time_s1","video_finish_s1","video_kind_finish_s1","video_finish_time_mean_s1","video_use_time_s2","video_n_s2","video_kind_s2","video_finish_time_s2","video_finish_s2","video_kind_finish_s2","video_finish_time_mean_s2"
"-2115397777342823634",2015-06-01,2015-06-01,0,101,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2117204509038559154",2014-05-22,2014-06-13,22,122,2,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-212412244001289724",2015-06-10,2015-07-08,28,241,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2127858041305710619",2015-10-13,2015-10-20,7,285,4,4,1,4,1,0.25,1,50,1,1,50,1,1,NA,NA,NA,NA,NA,NA,NA,285,4,4,50,1,1,50
"-2128597389574398889",2014-06-10,2014-06-10,0,277,1,1,1,0,1,1,0,277,1,0,277,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2132196367388718040",2015-10-08,2015-10-22,14,4306,26,20,19,13,0.769,0.731,0.5,3464,19,6,182.316,1,0.316,NA,NA,NA,NA,NA,NA,NA,4306,26,20,3464,19,19,182.315789473684
"-2133960056943532164",2015-02-04,2015-03-02,26,649,4,4,1,0,1,0.25,0,384,1,0,384,1,0,616,3,3,384,1,1,384,NA,NA,NA,NA,NA,NA,NA
"-2135051509793219189",2015-10-27,2015-10-27,0,765,3,3,3,3,1,1,1,765,3,3,255,1,1,NA,NA,NA,NA,NA,NA,NA,765,3,3,765,3,3,255
"-2138459262590149210",2014-11-11,2015-10-27,350,1277,7,7,6,6,1,0.857,0.857,1240,6,6,206.667,1,1,NA,NA,NA,NA,NA,NA,NA,1240,6,6,1240,6,6,206.666666666667
"-2145641480642948266",2015-09-17,2015-10-08,21,285,7,6,0,3,0.857,0,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,7,6,NA,NA,NA,NA
