user_primary_key,total_time_taken_s1,total_attempt_cnt_s1,hint_cnt_s1,review_mode_s1,pretest_mode_s1,n_s1,total_time_taken_s2,total_attempt_cnt_s2,hint_cnt_s2,review_mode_s2,pretest_mode_s2,n_s2,total_time_taken,total_attempt_cnt,hint_cnt,review_mode,pretest_mode,n
-6692242568371015886,9.146067415730338,1.449438202247191,0.29213483146067415,0,0,89,NA,NA,NA,NA,NA,NA,10.400763358778626,1.3912213740458015,0.16221374045801526,0,0,524
-6699753495198708979,11,4,0,0,0,1,NA,NA,NA,NA,NA,NA,14.1,1.3,0.2,0,0,10
-6707155637284970688,16.242424242424242,1.3484848484848484,0.36363636363636365,0.12121212121212122,0,66,NA,NA,NA,NA,NA,NA,15.639705882352942,1.2352941176470589,0.19852941176470587,0.11764705882352941,0,136
-6716130298740509794,63.75,1.75,2.125,0,0,8,10.352941176470589,1.3114186851211074,0.25951557093425603,0.04152249134948097,0.020761245674740483,289,13.58235294117647,1.3235294117647058,0.3411764705882353,0.023529411764705882,0.011764705882352941,510
-6726789426035481110,17.746666666666666,1.2533333333333334,0.7866666666666666,0,0,75,0,0,1,0,0,1,16.003389830508475,1.416949152542373,0.5627118644067797,0,0,885
-6732554902237171241,12.96551724137931,2.3333333333333335,1.1149425287356323,0,0,87,8.176470588235293,1.2647058823529411,0.17647058823529413,0,0,34,10.992063492063492,1.6904761904761905,0.626984126984127,0,0,252
-6745679087725569878,20.212598425196852,1.2401574803149606,0.10236220472440945,0.33070866141732286,0,254,NA,NA,NA,NA,NA,NA,12.895140664961637,1.326086956521739,0.19309462915601022,0.10912190963341858,0,2346
-6752196474742780179,13.615384615384615,1.6923076923076923,0,0,0,13,NA,NA,NA,NA,NA,NA,15.43956043956044,1.2747252747252746,0.14285714285714285,0,0,91
-6762652945197738091,24.73076923076923,1.5576923076923077,1.2307692307692308,0,0,52,NA,NA,NA,NA,NA,NA,33.710144927536234,1.5579710144927537,0.6811594202898551,0,0,138
-6793025345910588169,12.086642599277978,1.2238267148014441,0.2527075812274368,0,0,277,NA,NA,NA,NA,NA,NA,12.68995633187773,1.240174672489083,0.3406113537117904,0,0,458
-6798045897970995517,17.338983050847457,2,0.03389830508474576,0,0,59,23,15,0,0,0.5714285714285714,7,17.244274809160306,2.2595419847328246,0.030534351145038167,0,0.030534351145038167,131
-680951677542906502,21.4,2,0.4,0,0,5,NA,NA,NA,NA,NA,NA,18.04977375565611,1.4343891402714932,0.9864253393665159,0,0,221
-6809588204951385245,16.11111111111111,1.2777777777777777,0.13333333333333333,0,0,90,23.82716049382716,1.5802469135802468,1.3209876543209877,0,0,162,26.25891829689298,1.578826237054085,0.6892980437284235,0,0,869
-6832643047893304861,19.326923076923077,1.75,0.17307692307692307,0,0,52,31.339285714285715,1.625,0.017857142857142856,0,0,56,31.478494623655912,1.5913978494623655,0.760752688172043,0,0,372
-6856348392352954206,10.319391634980988,1.1787072243346008,0.019011406844106463,0,0,263,6.811688311688312,1.2532467532467533,0.012987012987012988,0.2012987012987013,0,154,10.065693430656934,1.1854014598540146,0.01167883211678832,0.04525547445255475,0,685
-6863142364275787013,7.0467032967032965,2.5604395604395602,0.3983516483516483,0,0,364,12.234240687679083,1.6912607449856734,0.08739255014326648,0.1511461318051576,0.0028653295128939827,1396,9.199963609898107,1.782023289665211,0.12336244541484716,0.04112081513828239,0.001091703056768559,5496
-6885436196796422705,12.625,1.125,0,0,0,16,25.642857142857142,1.6071428571428572,4.178571428571429,0,0,28,17.552036199095024,1.1900452488687783,0.583710407239819,0,0,221
-6899436351542064363,29.660958904109588,1.8253424657534247,1.9109589041095891,0,0,292,NA,NA,NA,NA,NA,NA,27.604591836734695,1.760204081632653,1.530612244897959,0,0,392
-6908527826885553802,65,1.4375,2.5625,0,0,16,27.055555555555557,1.4722222222222223,0.18055555555555555,0,0,72,40.35690235690236,1.4343434343434343,0.5185185185185185,0.015151515151515152,0,594
-6911230446762819022,34.25,1.1666666666666667,1.5833333333333333,0,0,12,39.21153846153846,1.875,0.75,0.009615384615384616,0,104,26.17128027681661,1.5432525951557095,0.5380622837370242,0.0017301038062283738,0,578
-6921037952714103365,27.40740740740741,1.2592592592592593,0.18518518518518517,0,0,27,28.85,1.75,2,0.2,0,20,21.401162790697676,1.319767441860465,0.23255813953488372,0.011627906976744186,0,344
-6924772466879118668,18.00657894736842,1.256578947368421,0.15789473684210525,0,0,152,NA,NA,NA,NA,NA,NA,18.00657894736842,1.256578947368421,0.15789473684210525,0,0,152
-6933397135340241168,38.56122448979592,1.7959183673469388,1.3571428571428572,0,0,98,NA,NA,NA,NA,NA,NA,26.488888888888887,1.5358024691358025,0.43950617283950616,0,0,405
-6936054096569883770,33.116279069767444,1.3488372093023255,2.2325581395348837,0,0,86,NA,NA,NA,NA,NA,NA,26.16301703163017,1.6958637469586375,0.9294403892944039,0.019464720194647202,0.0024330900243309003,411
-6949518624332337115,14.053571428571429,1.0357142857142858,0,0,0,56,NA,NA,NA,NA,NA,NA,16.161931818181817,1.4318181818181819,1.0795454545454546,0,0,352
-6964409926101723314,12.642857142857142,1.75,1.8035714285714286,0,0,56,4.7631578947368425,1.0263157894736843,0,0,0,38,8.635036496350365,1.3503649635036497,0.7883211678832117,0,0,137
-6968684052039438925,25.608695652173914,1.173913043478261,0.5652173913043478,0,0,46,NA,NA,NA,NA,NA,NA,21.99656357388316,1.092783505154639,0.19931271477663232,0,0,291
-6970280509077150473,32.24324324324324,1.2297297297297298,0.14864864864864866,0,0,74,NA,NA,NA,NA,NA,NA,26.554794520547944,1.143835616438356,0.14383561643835616,0,0,292
-6980443381760450683,17.93984962406015,1.368421052631579,0.007518796992481203,0,0,133,15.526315789473685,1.105263157894737,1.0526315789473684,0.6842105263157895,0.05263157894736842,19,19.08730158730159,1.3555555555555556,0.049206349206349205,0.026984126984126985,0.0015873015873015873,630
-6997976075615990047,103.5,2,4,0,0,2,9.323383084577115,1.1940298507462686,0.0845771144278607,0.13930348258706468,0.01990049751243781,201,10.81032412965186,1.134453781512605,0.058823529411764705,0.03361344537815126,0.004801920768307323,833
-7001356540586594257,12.894736842105264,1.1789473684210525,0.2631578947368421,0,0,95,NA,NA,NA,NA,NA,NA,19.65811965811966,1.2863247863247864,0.2777777777777778,0,0,234
