user_primary_key_hash,pre_exam,post_exam
672515393448911896,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6725635711851792237,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6725933296153953814,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6728581409573346819,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6730495691836095941,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6732311974812193736,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6734184851215859136,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6740114464689525025,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6752050523845765977,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6754238263309754088,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6756156987968994351,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6756383522801120484,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6760858423061790473,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6761268201783132633,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6767896913011824075,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6768345202997849528,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6769845647812360667,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6769865130052894554,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6770029199470354353,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6773118848473709067,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
677863190293627905,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6784576968904974523,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6785218338694489456,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6788352481308267787,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6789726121395899132,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6792200074557035934,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
679243119500604238,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
679494081918470342,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6798995004148258070,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6802587223687999893,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6803030771694839232,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6810646334116991435,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6815422218867210264,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6820458940539378753,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6821039967403509115,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6825809440668258600,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6827013340802783438,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6827590018940992450,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6828054507957166630,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6828589177361703428,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6829036424800323512,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6829291848385763177,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6832841816314836832,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6838500737081965356,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6844477351398937691,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6845926410793656090,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6846789373601160420,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6848698251481480230,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6848753945844613105,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
