user_primary_key,point_2015
4647323296636526100,36768
4729125004520412949,24212
5652430398465778597,2975
6276323234772698923,2992
7353002692089913559,6947
7510322408643492804,4652
8999115406080559966,5002
-2069185292992200948,
-2378554771772845634,6513
-2814253026724341737,
-378137184991291709,
-4071907997416063164,9293
-4540158700187622464,2357
-5702201943741429185,
-6645279317580252028,7875
-6822326783582609623,
-7648389715454536657,
-7862025548726489765,
-8651157724339102834,
-9156688715759495575,
-984179285102119295,
1365957823934083367,
1877447838121930623,
1931157389513909328,6353
2316042153123531345,
2963904416496008190,
3671187721650685118,
5323043481975778485,20881
538420805195459590,12098
6093925601484593443,12075
6114079727117158156,
6339140408835224832,6623
7083405069763661520,
7110794094247960280,
8159589248185978723,
8562414363621130475,
-1606849205689365076,5644
-1942385032612107464,1152
-231606574468519622,21121
-2616045367416409051,20795
-311972517422744349,18203
-4111814835290994502,36149
-4290679142796479634,40732
-4810289930702702090,1500
-5121446767695222044,30089
-556564447378198315,3117
-6072677518821640553,47861
-6394517997576208221,4298
-6856348392352954206,49602
-6936054096569883770,23310
-7185359490165387697,44332
-7955827795112054457,1578
-8509054270052583784,60365
-8588817899276230203,29517
-8593333084900740317,37181
-8748495298016421048,25241
1334605997909035789,30551
1533279966821214521,15004
3042799130264828958,18875
3109900148506291133,16649
3151647676665746198,30985
4109860384709151553,25384
4701573537576356868,18844
4978636040889480880,15709
5414803296661650077,26597
5425218572046465337,8733
5640142644664067567,37113
6360558902389676134,8952
6583576287929574397,10330
6827590018940992450,98731
6990015386243657419,73597
8883150550592444482,2091
900909780470556463,18577
948569955965288928,20998
-2530054868280427662,54605
-3131909768491345121,28429
-3591338320492232958,61362
-4399672992774713813,2835
-4614246022239683360,9095
-4995570166300241893,22565
-5450287144568082588,10288
-7562666549603953716,825
-7806371018329169130,7921
1319089173788634752,40144
2859394940769618852,50190
6646416372803572074,40004
6938484296514641189,4537
7530147616979096517,1824
7580787776295360923,8739
774641348632189395,3975
8014686711839819744,9525
8443458695314561907,48169
8755916320624472500,9289
-1247331095322916204,662
-4577857285868258056,80982
-4627575115320085650,6461
-5025285553609312890,2475
-6461756470264345936,1867
-7505906667834729099,6090
-8077583178267827876,7380
-8220290336965866493,22259
-8603895601771867247,90726
1606120111950239082,29123
1883211860242240466,828
2078790755758668226,35728
2917555286927284440,4214
4173711753821425339,62520
440843741593253248,9691
4448440064767451082,4307
4687895663094714283,4152
5261053082141049869,2250
620555773195484876,21136
6280363561028104061,3105
6378619164321911673,9183
7516071781124422981,2553
8584712177208092250,8956
8585388444917426371,32559
8611223909976343449,21452
8865461921106777319,2925
8942872920439821448,5553
3021341741593461404,188
5959604631870217112,27225
-120747678342719306,
-247176798469564813,
-3853899039934714364,
-3992919889522252197,
-4268716148226672062,
-4799128519075398975,4950
-5550443893316343048,
-6169649204415382564,
-7505807681842250224,
-8754738946402172010,0
1073655274743512883,
111493235427213967,
2793730303730111283,
3725886288576927716,
3996792024193822806,2820
4310023397794134495,8184
4870021421788454744,
4994049672256832232,
6622584240363735889,
7056053994658872689,
7247259448944390139,
7688239832362868145,
8787733407006512835,1050
8829091166122255509,
8840475727228656689,
-1289211783882310211,63018
-1778095773377225006,31962
-2014964715657853937,46137
-2221497711196583746,7160
-2767787493168335558,2217
-3541257915170231023,6093
-4556098561775676856,5196
-4657112422531067488,33509
-4999349048796911880,21747
-5827584410452274506,74797
-6314699397423471123,65659
-7079439925199056275,31598
-9017626282284085560,7543
1094760870324745716,33081
1165499820395593993,21779
1168522027627803598,44581
1859736589910084539,39774
1867572715843423195,600
2053441680765761733,46273
2971500205252032680,50220
3334673271506647910,28457
4037250822453212582,12236
440426225014584557,18339
5231394511586396828,12844
5323021727173374355,2430
6204706491263544681,19652
6335031769503644102,83615
7367844026111023453,45146
7396033904368250600,3722
7521965201983959376,15700
753284203220181525,27555
8192205272370721968,25073
8350253742446573293,16844
974245067791081301,24992
-2636268221542652380,1450
-294177221346142930,40905
-3346660692772956525,25290
-3817204900284411789,18068
-6032252768688296473,1188
-7864014465568973946,29690
-8431628240199485860,32398
-8890502064152199305,23820
1095239559037322495,7030
144270048360871744,19336
3034651622847730671,7626
4059484509106162256,27209
6318832703530705432,27525
8122083764221609323,10510
8585706894756510304,80332
-194323765251409249,1678
-231668403732183584,1125
-3412566029305127633,16690
-3484910563983321514,21299
-3623004195100383304,3141
-3681354866782508405,2064
-385295188950703867,14492
-5294953544514506878,4662
-6322126968952093747,10907
-6328195993472548043,5212
-7513705098252806740,4869
-8218233758586023817,879
-8346821904073180860,23252
-8379278727772301970,1575
-8701593772862194842,2455
1537254575330610279,1775
1719907967925993772,9492
1819874539955876003,2319
2085215072153808438,14735
2225655146325650043,14181
2253682370949638208,1522
2269841165669681822,27090
285379194789498111,2114
3064822467006624741,12645
3377667754725953612,11402
3494826084763115359,1164
5280196786702934946,38096
5300661188882998978,1875
5854484832983248819,2475
6392403517364005920,13001
6732311974812193736,6622
6939085792829127150,1800
7021716911976433252,9964
7566545118179400717,4717
8058836347815797521,5112
8740651045521661028,0
92363280242308760,15863
-2742646678660267729,29250
3866409466800601903,180
4778575942021061000,27000
5055897921324934030,7609
-1303003096562596676,
